Gender,Age,Height,Weight,Sport,Weekly_Training_Hours,Training_Intensity,Physical_Conditioning,Nutrition_Score,Previous_Injuries,Injury_Risk
Men,31,180,77.9,Swimming,4.3,Low,8.0,2.4,3,high
Men,31,179,63.5,Gymnastics,9.7,Moderate,6.5,5.8,4,high
Women,30,195,62.9,Basketball,9.1,Moderate,7.7,1.9,3,high
Men,22,189,54.0,Running,12.2,Moderate,1.7,1.6,0,low
Men,24,215,97.0,Basketball,2.1,Low,8.4,2.9,3,high
Women,35,172,57.6,Running,10.0,Moderate,3.4,9.1,3,high
Men,18,175,70.4,Gymnastics,7.9,Moderate,5.1,3.7,5,low
Men,29,180,76.3,Football,14.2,Moderate,6.6,2.4,2,high
Women,28,170,62.7,Football,6.9,Moderate,9.1,3.1,0,low
Men,33,185,71.0,Running,19.4,High,1.7,8.2,2,high
Men,30,205,109.9,Basketball,2.3,Low,4.4,7.6,0,high
Men,18,194,75.8,Swimming,9.6,Moderate,1.6,3.8,0,low
Men,39,174,70.3,Gymnastics,3.8,Low,5.5,8.2,4,high
Men,28,184,96.9,Basketball,16.9,High,8.3,3.1,4,high
Men,35,183,92.0,Basketball,11.6,Moderate,5.7,9.0,0,high
Women,28,185,60.6,Swimming,9.0,Moderate,2.0,2.5,2,low
Women,22,175,57.9,Running,14.4,Moderate,8.1,1.2,4,high
Women,34,168,61.7,Running,6.6,Moderate,4.8,7.5,1,low
Women,29,153,54.6,Gymnastics,9.8,Moderate,8.3,9.4,4,low
Men,39,175,81.3,Football,8.5,Moderate,5.0,8.0,2,high
Women,24,180,60.5,Running,12.7,Moderate,9.3,2.1,3,high
Women,38,177,55.2,Swimming,4.0,Low,2.4,7.7,1,low
Men,35,173,68.5,Gymnastics,8.9,Moderate,5.2,8.7,2,high
Men,24,188,82.5,Football,18.4,High,5.2,4.1,2,high
Men,18,187,83.6,Swimming,2.7,Low,4.9,6.5,0,low
Men,39,179,65.6,Football,4.1,Low,8.0,3.6,2,high
Men,25,199,91.6,Basketball,15.3,High,2.7,1.6,5,high
Women,31,155,64.0,Running,19.7,High,6.8,8.2,5,high
Men,40,208,93.0,Basketball,6.8,Moderate,5.2,1.1,0,high
Women,32,190,59.7,Swimming,4.1,Low,8.4,9.5,2,high
Men,37,186,54.1,Running,5.3,Moderate,4.8,4.9,4,high
Men,33,172,69.5,Football,10.8,Moderate,4.9,9.5,2,high
Men,22,181,79.6,Basketball,13.6,Moderate,1.9,9.0,0,high
Men,39,183,65.8,Running,18.0,High,2.3,2.7,1,high
Men,26,160,58.2,Running,14.4,Moderate,5.8,8.8,1,low
Men,35,175,64.6,Football,10.6,Moderate,1.4,7.8,2,high
Men,33,174,50.9,Running,7.5,Moderate,4.1,1.7,2,low
Women,28,156,66.8,Football,15.8,High,6.3,9.6,5,high
Men,20,174,73.4,Running,15.2,High,9.6,7.9,4,high
Women,31,166,44.4,Gymnastics,3.7,Low,2.3,5.5,2,low
Women,33,194,75.5,Basketball,17.8,High,5.4,5.4,4,high
Men,22,191,79.6,Swimming,15.3,High,3.7,4.6,4,high
Women,34,167,72.8,Football,1.7,Low,3.2,8.9,4,high
Men,33,179,72.9,Gymnastics,4.3,Low,5.3,5.1,0,high
Men,26,179,73.5,Football,12.8,Moderate,3.5,7.9,4,high
Women,38,154,50.0,Gymnastics,0.4,Low,1.5,4.1,4,low
Men,19,187,65.5,Swimming,5.2,Moderate,3.3,3.4,4,low
Women,28,171,74.7,Football,9.8,Moderate,1.4,4.9,5,high
Women,39,193,66.8,Swimming,5.9,Moderate,2.5,8.0,3,high
Women,32,191,73.1,Swimming,15.0,High,8.2,3.3,2,high
Men,35,165,58.9,Running,8.3,Moderate,1.7,4.6,1,low
Men,36,161,61.9,Running,9.6,Moderate,9.9,7.9,1,high
Men,23,193,81.9,Basketball,5.6,Moderate,4.3,2.7,0,high
Men,38,179,76.9,Swimming,16.1,High,7.0,2.0,0,high
Men,24,179,72.7,Gymnastics,5.3,Moderate,9.7,7.5,5,high
Men,38,172,77.6,Football,5.8,Moderate,8.7,8.8,3,high
Women,40,170,46.2,Running,2.4,Low,9.7,7.6,4,high
Women,29,169,50.6,Football,6.3,Moderate,5.9,9.4,0,low
Men,26,172,65.1,Gymnastics,1.3,Low,6.0,4.7,3,low
Women,27,156,44.9,Gymnastics,19.1,High,7.6,1.7,1,low
Men,33,195,60.3,Football,11.6,Moderate,3.3,8.3,5,high
Men,33,161,59.9,Gymnastics,12.8,Moderate,9.3,1.5,5,high
Women,32,179,60.1,Basketball,1.5,Low,7.0,3.0,1,low
Women,29,192,62.6,Swimming,18.7,High,5.2,2.9,5,high
Women,25,164,53.3,Running,12.7,Moderate,6.1,4.6,5,low
Men,18,180,88.2,Football,14.7,Moderate,8.6,4.2,5,high
Men,29,171,67.8,Running,10.8,Moderate,4.7,4.8,1,low
Women,34,160,62.1,Football,8.7,Moderate,7.6,8.7,4,high
Women,20,164,72.1,Football,5.6,Moderate,9.5,4.3,3,low
Men,30,187,97.4,Swimming,10.0,Moderate,2.9,1.6,1,high
Men,22,195,83.3,Football,9.4,Moderate,2.3,8.9,1,high
Women,33,165,50.4,Gymnastics,15.1,High,9.9,5.3,5,high
Men,38,212,78.0,Basketball,12.1,Moderate,2.9,6.2,1,high
Women,25,162,56.0,Football,15.2,High,8.9,4.7,1,low
Men,31,202,98.7,Basketball,10.1,Moderate,2.0,2.7,5,high
Women,39,198,73.8,Basketball,1.0,Low,5.1,7.4,5,high
Men,39,187,81.3,Swimming,9.1,Moderate,5.2,3.0,0,high
Men,26,204,93.6,Swimming,2.4,Low,8.0,3.7,0,high
Women,37,175,53.4,Football,8.1,Moderate,8.1,6.3,2,high
Women,32,160,46.4,Gymnastics,17.5,High,8.6,4.4,1,low
Women,34,165,54.2,Gymnastics,18.8,High,6.1,8.6,0,high
Men,18,186,70.4,Football,11.4,Moderate,1.9,5.7,1,low
Men,34,180,62.0,Football,16.1,High,9.4,5.7,1,high
Men,23,180,70.6,Running,7.2,Moderate,8.5,9.9,1,high
Women,40,179,78.1,Swimming,15.6,High,4.2,5.8,2,high
Men,37,199,103.8,Basketball,19.2,High,6.5,9.9,1,high
Men,24,180,75.5,Swimming,14.5,Moderate,7.3,4.6,3,high
Women,24,174,64.3,Swimming,19.4,High,7.1,5.7,4,high
Women,24,157,54.8,Football,12.4,Moderate,1.8,9.6,2,low
Women,24,180,57.6,Basketball,15.6,High,7.6,2.8,2,high
Women,24,153,41.4,Gymnastics,6.7,Moderate,6.3,9.6,4,low
Men,37,162,62.9,Gymnastics,11.8,Moderate,7.2,5.4,4,high
Men,22,177,71.9,Football,7.7,Moderate,2.3,1.9,2,low
Men,39,214,71.6,Basketball,18.6,High,9.2,4.2,3,high
Men,28,179,66.8,Swimming,2.2,Low,8.5,1.8,1,low
Men,22,172,71.8,Gymnastics,13.8,Moderate,6.6,8.1,4,high
Women,18,195,68.1,Swimming,10.2,Moderate,10.0,1.1,4,high
Women,36,174,71.8,Football,1.1,Low,6.7,9.2,0,high
Men,28,171,60.8,Gymnastics,10.0,Moderate,8.7,7.9,5,high
Men,35,204,84.5,Swimming,10.1,Moderate,8.4,6.9,2,high
Women,32,197,58.7,Basketball,17.4,High,1.9,3.8,2,high
Men,24,193,93.3,Swimming,12.4,Moderate,5.5,8.0,4,high
Women,36,175,66.3,Football,9.8,Moderate,3.2,6.9,4,high
Men,37,170,68.6,Football,13.7,Moderate,3.7,6.3,4,high
Women,20,159,73.3,Football,9.5,Moderate,6.1,4.5,4,low
Men,22,202,91.6,Basketball,5.0,Moderate,8.9,4.2,4,high
Men,25,166,89.1,Football,2.4,Low,3.8,10.0,2,high
Women,32,168,44.7,Gymnastics,16.8,High,5.7,6.3,1,low
Men,21,168,68.1,Gymnastics,1.7,Low,2.1,8.0,2,low
Men,21,213,90.1,Basketball,16.6,High,5.7,1.7,3,high
Men,25,173,59.6,Running,10.4,Moderate,6.5,8.0,4,high
Women,27,164,56.5,Football,3.5,Low,7.9,9.0,1,low
Men,35,168,68.1,Football,9.7,Moderate,5.5,5.6,5,high
Women,28,159,47.3,Gymnastics,6.6,Moderate,1.7,4.7,2,low
Women,31,153,58.2,Running,8.2,Moderate,2.4,1.3,4,low
Men,25,175,76.8,Swimming,5.2,Moderate,8.4,3.1,0,low
Men,21,167,78.1,Football,15.9,High,1.9,9.2,3,high
Women,37,161,42.7,Gymnastics,15.2,High,1.1,5.0,3,low
Men,24,181,60.6,Running,5.1,Moderate,1.1,8.9,2,low
Women,29,171,78.4,Swimming,11.7,Moderate,6.7,1.2,1,high
Women,26,164,43.5,Gymnastics,8.3,Moderate,4.0,5.5,0,low
Men,26,161,56.4,Gymnastics,2.2,Low,7.2,5.2,3,low
Women,33,152,49.6,Running,16.7,High,4.5,2.3,3,low
Women,33,195,59.7,Swimming,2.4,Low,5.7,6.5,0,low
Women,20,168,45.7,Running,10.2,Moderate,2.5,9.1,5,low
Women,31,175,72.5,Swimming,9.1,Moderate,9.1,7.1,2,high
Women,32,188,66.5,Swimming,18.9,High,1.1,1.3,4,high
Women,21,169,64.9,Running,5.4,Moderate,5.9,2.8,3,low
Men,20,169,76.5,Football,17.0,High,8.4,6.7,3,high
Men,37,195,86.5,Swimming,7.7,Moderate,5.2,2.3,4,high
Men,25,173,85.3,Football,12.1,Moderate,4.6,9.5,2,high
Men,22,174,84.5,Football,8.0,Moderate,5.1,6.7,3,high
Women,40,151,50.7,Running,19.8,High,5.8,6.1,5,high
Men,19,185,77.1,Football,17.5,High,6.6,9.1,1,high
Men,39,202,73.7,Basketball,14.3,Moderate,1.9,3.6,2,high
Women,23,160,55.8,Running,2.0,Low,9.0,8.0,0,low
Women,40,191,69.2,Swimming,16.4,High,1.2,1.0,2,high
Men,40,176,99.6,Swimming,7.6,Moderate,3.4,1.4,3,high
Men,27,188,85.1,Football,16.3,High,4.9,9.4,5,high
Women,36,165,70.6,Swimming,1.8,Low,7.2,2.8,2,low
Women,24,175,64.0,Football,5.2,Moderate,5.2,3.7,5,low
Men,20,166,62.9,Football,0.0,Low,6.4,3.2,3,low
Men,23,189,76.6,Basketball,16.6,High,7.4,6.0,4,high
Women,32,176,45.4,Running,11.4,Moderate,1.8,1.3,4,low
Women,31,179,53.3,Football,1.8,Low,8.2,8.7,5,high
Men,18,177,94.7,Swimming,6.4,Moderate,2.7,9.7,5,high
Women,26,164,56.5,Football,16.2,High,8.2,3.1,2,low
Women,37,197,70.9,Basketball,1.6,Low,2.3,9.4,0,high
Women,21,197,69.0,Basketball,14.1,Moderate,8.0,9.9,2,high
Men,22,160,56.6,Gymnastics,18.1,High,3.4,9.1,5,high
Men,24,186,68.7,Running,4.3,Low,5.2,8.2,0,low
Women,28,182,55.3,Swimming,17.1,High,3.2,9.0,4,high
Women,25,151,54.0,Running,13.2,Moderate,3.4,9.1,1,low
Women,36,175,57.4,Running,2.2,Low,5.7,3.6,3,low
Men,32,205,89.7,Swimming,9.5,Moderate,3.6,4.4,4,high
Women,25,177,55.6,Running,9.3,Moderate,2.6,8.6,5,low
Women,31,190,67.9,Basketball,13.4,Moderate,6.7,4.4,5,high
Women,20,193,57.0,Basketball,8.8,Moderate,7.8,7.1,0,low
Men,19,181,63.6,Running,14.3,Moderate,2.8,1.7,4,low
Men,33,205,80.6,Swimming,2.3,Low,7.0,7.8,1,high
Men,35,195,87.6,Swimming,4.1,Low,3.9,9.6,5,high
Men,39,169,64.6,Gymnastics,18.4,High,8.6,1.7,4,high
Men,29,190,72.5,Running,12.2,Moderate,9.7,2.4,3,high
Women,32,166,52.9,Running,15.5,High,3.1,9.0,0,low
Women,26,179,62.0,Swimming,9.2,Moderate,4.4,8.0,0,low
Women,32,181,69.1,Basketball,8.6,Moderate,3.9,6.2,2,high
Women,28,168,64.2,Swimming,11.7,Moderate,3.3,2.3,1,low
Men,34,189,89.1,Basketball,15.0,High,8.4,2.7,5,high
Women,38,174,45.2,Running,18.7,High,2.3,8.5,3,high
Men,38,166,54.9,Running,3.5,Low,9.4,1.4,5,high
Women,29,170,47.7,Gymnastics,6.7,Moderate,8.7,1.2,1,low
Women,21,178,69.1,Swimming,16.9,High,2.6,6.7,2,high
Men,31,194,89.8,Football,10.9,Moderate,2.9,9.3,3,high
Women,29,157,59.4,Football,10.3,Moderate,6.7,7.8,3,low
Men,39,170,71.7,Gymnastics,4.2,Low,1.4,8.9,4,high
Women,40,168,54.3,Gymnastics,10.3,Moderate,9.6,6.2,0,high
Men,32,166,70.4,Gymnastics,2.0,Low,9.3,6.5,4,high
Women,23,177,69.7,Swimming,12.1,Moderate,3.9,8.9,3,high
Men,20,168,72.7,Gymnastics,7.7,Moderate,5.3,9.4,0,low
Men,18,172,62.4,Gymnastics,5.2,Moderate,1.6,9.6,2,low
Women,18,153,55.9,Running,1.5,Low,9.9,2.7,1,low
Women,24,178,61.4,Basketball,18.5,High,6.4,8.9,3,high
Women,24,181,52.6,Football,3.6,Low,6.8,5.0,5,low
Men,27,195,97.3,Basketball,16.9,High,9.7,3.3,1,high
Women,36,182,59.2,Basketball,15.9,High,3.6,1.0,1,high
Women,26,157,58.3,Football,1.0,Low,1.2,2.1,5,low
Women,28,152,43.5,Gymnastics,0.9,Low,8.6,3.5,4,low
Men,33,169,53.5,Running,4.8,Low,7.2,8.8,3,low
Men,30,181,88.9,Swimming,6.0,Moderate,7.6,2.6,2,high
Women,29,169,75.8,Swimming,5.8,Moderate,4.7,8.8,1,high
Men,23,192,87.3,Football,13.7,Moderate,5.4,9.4,3,high
Women,21,155,49.9,Running,13.5,Moderate,8.1,4.2,3,low
Men,30,184,81.7,Swimming,18.9,High,7.1,7.2,4,high
Women,28,163,50.2,Football,3.7,Low,9.5,4.1,0,low
Men,37,167,60.5,Gymnastics,6.2,Moderate,8.3,5.8,4,high
Men,21,189,71.2,Running,12.1,Moderate,5.1,9.8,0,high
Men,26,197,93.7,Basketball,14.8,Moderate,6.7,1.2,4,high
Men,20,205,93.1,Basketball,9.7,Moderate,6.4,7.2,3,high
Men,27,174,56.1,Gymnastics,14.5,Moderate,7.6,3.0,3,high
Men,40,209,108.4,Basketball,16.4,High,2.8,1.8,1,high
Men,36,197,88.5,Swimming,9.3,Moderate,4.5,5.6,4,high
Men,40,186,60.6,Running,16.1,High,3.3,4.1,5,high
Men,40,194,77.6,Football,7.8,Moderate,3.0,6.6,2,high
Women,40,187,69.5,Swimming,3.1,Low,7.4,3.1,1,high
Men,39,182,86.1,Swimming,11.2,Moderate,5.9,4.3,0,high
Women,35,153,52.2,Gymnastics,7.6,Moderate,6.3,4.0,2,low
Men,37,170,65.5,Running,6.9,Moderate,5.1,9.2,3,high
Women,39,173,70.9,Swimming,18.6,High,4.2,5.5,1,high
Women,36,180,64.6,Running,13.6,Moderate,9.6,3.6,1,high
Men,27,194,85.2,Basketball,17.9,High,5.7,3.0,0,high
Men,27,173,69.7,Gymnastics,3.5,Low,1.4,9.3,1,low
Men,39,179,84.9,Football,6.4,Moderate,3.0,3.2,3,high
Women,25,186,63.4,Swimming,4.9,Low,2.8,5.3,4,low
Men,39,189,77.5,Football,12.3,Moderate,1.4,9.4,1,high
Women,32,177,52.0,Football,16.3,High,2.4,6.4,1,low
Men,28,171,80.3,Football,7.8,Moderate,5.9,7.8,5,high
Men,29,197,70.8,Basketball,7.7,Moderate,5.4,1.6,4,high
Women,25,170,59.3,Football,14.5,Moderate,8.6,5.2,1,high
Men,27,205,71.5,Basketball,2.9,Low,1.7,3.7,4,high
Women,33,191,58.9,Swimming,6.8,Moderate,2.9,9.9,0,high
Men,21,169,74.5,Gymnastics,16.7,High,3.9,5.5,0,high
Men,38,177,82.5,Football,19.6,High,2.7,7.7,3,high
Men,23,170,78.0,Football,13.5,Moderate,2.6,1.7,0,low
Women,38,181,60.4,Basketball,6.5,Moderate,9.9,1.2,1,high
Men,29,195,72.3,Football,6.0,Moderate,4.9,9.7,5,high
Women,39,169,59.8,Swimming,2.3,Low,2.1,9.0,1,low
Men,35,202,109.7,Basketball,3.0,Low,8.9,9.6,3,high
Women,29,180,65.3,Swimming,10.3,Moderate,5.4,4.8,4,high
Women,38,153,54.9,Gymnastics,17.4,High,5.0,5.2,5,high
Men,19,190,82.0,Basketball,14.5,Moderate,2.0,9.1,3,high
Men,35,168,58.5,Running,4.9,Low,3.8,9.5,1,low
Women,22,169,55.3,Running,11.4,Moderate,7.2,3.0,3,low
Women,21,173,73.7,Basketball,1.5,Low,8.8,8.5,4,high
Men,20,177,68.0,Gymnastics,16.0,High,4.3,2.1,1,low
Women,20,162,40.0,Gymnastics,4.7,Low,7.6,6.0,1,low
